SchoolDist,HealthArea,Address,BldgClass,BldgArea,NumFloors,YearBuilt,XCoord,YCoord,ForAlign
2,7700,160 CHAMBERS STREET,C6,9565,4,1915,981375,200067,0
2,7700,162 CHAMBERS STREET,S2,10020,5,1915,981352,200083,0
2,7700,158 CHAMBERS STREET,C6,8815,5,1915,981395,200054,0
2,7700,156 CHAMBERS STREET,D2,10500,6,1920,981415,200043,0
2,7700,154 CHAMBERS STREET,L8,7797,5,1920,981436,200030,0
2,7700,150 CHAMBERS STREET,RM,17839,5,1915,981468,200011,0
2,7700,295 GREENWICH STREET,RM,103856,11,1987,981270,200085,0
2,7700,92 WARREN STREET,R4,26445,13,1920,981292,200001,0
2,7700,139 CHAMBERS STREET,D4,25473,10,1915,981637,200062,0
2,7700,143 CHAMBERS STREET,L8,10800,5,1915,981615,200084,0
2,7700,145 CHAMBERS STREET,L8,9125,5,1915,981594,200098,0
2,7700,147 CHAMBERS STREET,D9,130568,12,1997,981579,200171,0
2,7700,155 CHAMBERS STREET,D2,8900,5,1920,981487,200161,1
2,7700,145 READE STREET,A4,11913,5,1910,981442,200279,0
2,7700,135 READE STREET,S4,4761,3,1920,981547,200216,0
2,7700,303 GREENWICH STREET,RM,87895,11,1987,981352,200238,0
2,7700,311 GREENWICH STREET,RM,66167,10,1988,981333,200343,0
2,7700,137 READE STREET,RM,29564,5,1930,981494,200247,0
2,7700,153 CHAMBERS STREET,RM,9262,5,1920,981508,200148,0
2,7700,157 CHAMBERS STREET,RM,92408,16,1931,981432,200193,0
2,7700,126 READE STREET,O5,19200,6,1915,981647,200304,0
2,7700,134 READE STREET,L8,6925,3,1915,981601,200327,0
2,7700,144 READE STREET,A7,5300,5.5,1915,981504,200384,0
2,7700,146 READE STREET,S3,6068,4,1915,981485,200403,0
2,7700,148 READE STREET,A7,6800,5,1999,981461,200410,0
2,7700,150 READE STREET,A7,6250,6,1999,981440,200423,0
2,7700,152 READE STREET,A7,6750,5.5,1900,981418,200436,0
2,7700,154 READE STREET,K4,5850,4,1915,981397,200449,0
2,7700,156 READE STREET,S1,6800,6,1920,981376,200461,0
2,7700,315 GREENWICH STREET,S5,6545,5,1930,981334,200476,0
2,7700,317 GREENWICH STREET,L8,18345,5,1920,981352,200505,0
2,7700,321A GREENWICH STREET,A4,7077,5,1915,981366,200562,0
2,7700,323 GREENWICH STREET,S4,9664,5,1920,981361,200586,0
2,7700,323A GREENWICH STREET,S4,7765,5,1915,981356,200614,0
2,7700,188 DUANE STREET,S3,6000,4,1915,981409,200597,0
