SchoolDist,HealthArea,Address,BldgClass,BldgArea,NumFloors,YearBuilt,XCoord,YCoord
2,8900,325 NORTH END AVENUE,D8,356483,24,2004,980095,200482
2,8900,400 CHAMBERS STREET,D8,484000,27,1998,980084,200761
2,8900,455 NORTH END AVENUE,D8,239185,14,1998,980218,200689
2,8900,399 CHAMBERS STREET,D8,357000,42,1998,980183,200959
2,8900,345 CHAMBERS STREET,W1,450000,10,1989,980413,200867
2,8900,450 NORTH END AVENUE,Z9,105177,25,1997,980457,200553
2,8900,201 WARREN STREET,D8,244617,25,1998,980378,200502
2,8900,300 NORTH END AVENUE,RM,233010,22,2008,980272,200358
2,8900,200 NORTH END AVENUE,RM,377325,32,2008,980160,200125
2,7700,160 CHAMBERS STREET,C6,9565,4,1915,981375,200067
2,7700,162 CHAMBERS STREET,S2,10020,5,1915,981352,200083
2,7700,158 CHAMBERS STREET,C6,8815,5,1915,981395,200054
2,7700,156 CHAMBERS STREET,D2,10500,6,1920,981415,200043
2,7700,154 CHAMBERS STREET,L8,7797,5,1920,981436,200030
2,7700,150 CHAMBERS STREET,RM,17839,5,1915,981468,200011
2,7700,295 GREENWICH STREET,RM,103856,11,1987,981270,200085
2,7700,92 WARREN STREET,R4,26445,13,1920,981292,200001
2,7700,139 CHAMBERS STREET,D4,25473,10,1915,981637,200062
2,7700,143 CHAMBERS STREET,L8,10800,5,1915,981615,200084
2,7700,145 CHAMBERS STREET,L8,9125,5,1915,981594,200098
2,7700,147 CHAMBERS STREET,D9,130568,12,1997,981579,200171
2,7700,155 CHAMBERS STREET,D2,8900,5,1920,981487,200161
2,7700,145 READE STREET,A4,11913,5,1910,981442,200279
2,7700,135 READE STREET,S4,4761,3,1920,981547,200216
2,7700,303 GREENWICH STREET,RM,87895,11,1987,981352,200238
2,7700,311 GREENWICH STREET,RM,66167,10,1988,981333,200343
2,7700,137 READE STREET,RM,29564,5,1930,981494,200247
2,7700,153 CHAMBERS STREET,RM,9262,5,1920,981508,200148
2,7700,157 CHAMBERS STREET,RM,92408,16,1931,981432,200193
2,7700,126 READE STREET,O5,19200,6,1915,981647,200304
2,7700,134 READE STREET,L8,6925,3,1915,981601,200327
2,7700,144 READE STREET,A7,5300,5.5,1915,981504,200384
2,7700,146 READE STREET,S3,6068,4,1915,981485,200403
2,7700,148 READE STREET,A7,6800,5,1999,981461,200410
2,7700,150 READE STREET,A7,6250,6,1999,981440,200423
2,7700,152 READE STREET,A7,6750,5.5,1900,981418,200436
2,7700,154 READE STREET,K4,5850,4,1915,981397,200449
2,7700,156 READE STREET,S1,6800,6,1920,981376,200461
2,7700,315 GREENWICH STREET,S5,6545,5,1930,981334,200476
2,7700,317 GREENWICH STREET,L8,18345,5,1920,981352,200505
2,7700,321A GREENWICH STREET,A4,7077,5,1915,981366,200562
2,7700,323 GREENWICH STREET,S4,9664,5,1920,981361,200586
2,7700,323A GREENWICH STREET,S4,7765,5,1915,981356,200614
2,7700,188 DUANE STREET,S3,6000,4,1915,981409,200597
2,7700,182 DUANE STREET,S9,14000,5,1915,981445,200528
2,7700,180 DUANE STREET,D0,13500,5,1915,981466,200516
2,7700,178 DUANE STREET,C2,13500,5,1910,981488,200503
2,7700,174 DUANE STREET,S3,12268,5,1910,981533,200483
2,7700,172 DUANE STREET,O2,7830,2,1910,981551,200464
2,7700,158 READE STREET,A4,945,3,1910,981337,200458
2,7700,168 DUANE STREET,RM,19196,5,1880,981598,200436
2,7700,184 DUANE STREET,RM,10705,5,1915,981434,200562
2,7700,170 DUANE STREET,RM,13038,4,1986,981573,200451
2,7700,166 DUANE STREET,RM,95010,12,1910,981640,200404
2,7700,176 DUANE STREET,RM,13577,7,1910,981509,200490
2,7700,321 GREENWICH STREET,RM,13382,5,1915,981361,200538
2,7700,138 READE STREET,RM,16734,8,2005,981547,200359
2,7700,292 GREENWICH STREET,W1,66820,3,1988,981023,200219
2,7700,25 HARRISON STREET,A9,1850,2.75,1899,981299,201097
2,7700,27 HARRISON STREET,A9,2643,2.75,1940,981276,201101
2,7700,27A HARRISON STREET,A9,5000,2.75,1899,981251,201105
2,7700,29 HARRISON STREET,A9,2660,2,1960,981229,201113
2,7700,31 HARRISON STREET,A9,2079,2,1960,981209,201115
2,7700,33 HARRISON STREET,A9,1485,2,1960,981181,201119
2,7700,37 HARRISON STREET,A9,2660,2,1960,981197,201079
2,7700,39 HARRISON STREET,A9,3080,2,1899,981193,201058
2,7700,41 HARRISON STREET,B9,3080,2,1960,981189,201038
2,7700,310 GREENWICH STREET,D6,1970736,39,1975,981237,201417
2,7700,208 WEST STREET,W5,780000,8,1980,980924,200887
2,7700,200 CHAMBERS STREET,RM,374946,29,2005,980814,200345
2,7700,47 HUDSON STREET,D4,77630,10,1930,981656,200678
2,7700,55 HUDSON STREET,D4,103750,10,1900,981669,200770
2,7700,171 DUANE STREET,D4,11250,5,1920,981567,200700
2,7700,173 DUANE STREET,D4,24500,6,1925,981529,200706
2,7700,181 DUANE STREET,S3,5950,5,1920,981441,200701
2,7700,183 DUANE STREET,D2,4426,5,1920,981422,200704
2,7700,185 DUANE STREET,S5,5155,6,1920,981400,200708
2,7700,325 GREENWICH STREET,D2,11726,5,1920,981368,200713
2,7700,329 GREENWICH STREET,D2,11309,5,1920,981405,200747
2,7700,331 GREENWICH STREET,S3,6368,4,1920,981410,200773
2,7700,333 GREENWICH STREET,A7,6800,6,2000,981398,200800
2,7700,335 GREENWICH STREET,D4,55800,13,1931,981421,200836
2,7700,14 JAY STREET,D4,17168,8,1920,981531,200798
2,7700,8 JAY STREET,RM,24584,6,1915,981569,200792
2,7700,177 DUANE STREET,RM,20243,6,1920,981478,200715
2,7700,16 JAY STREET,RM,25415,6,1920,981487,200803
2,7700,16 HUDSON STREET,D4,78306,6,1915,981792,200305
2,7700,155 DUANE STREET,S4,3205,5,1910,981879,200430
2,7700,157 DUANE STREET,C6,8805,5,1920,981870,200463
2,7700,40 HUDSON STREET,D0,9947,6,1910,981807,200544
2,7700,44 HUDSON STREET,O8,12900,5,1910,981825,200593
2,7700,84 THOMAS STREET,D4,37960,5,1910,981887,200557
2,7700,142 WEST BROADWAY,D5,20372,5,1915,981941,200554
2,7700,138 WEST BROADWAY,S3,4214,4,1915,981942,200509
2,7700,136 WEST BROADWAY,S3,4521,4,1915,981930,200488
2,7700,134 WEST BROADWAY,S3,4521,4,1915,981917,200467
2,7700,132 WEST BROADWAY,O2,2500,2,1920,981905,200445
2,7700,130 WEST BROADWAY,K2,1268,2,1920,981902,200416
2,7700,56 HUDSON STREET,O4,802000,23,1930,981938,200738
2,7700,42 HUDSON STREET,RM,14900,6,1915,981816,200569
2,7700,36 HUDSON STREET,RM,34787,8,1910,981806,200499
2,7700,159 DUANE STREET,RM,10795,6,1910,981848,200476
2,7700,50 HUDSON STREET,RM,16184,4,1925,981827,200629
2,7700,113 READE STREET,K2,3750,2,1915,981815,200055
2,7700,111 READE STREET,S4,8800,5,1920,981838,200042
2,7700,105 READE STREET,L8,16822,5,1920,981893,200009
2,7700,109 READE STREET,RM,8218,5,1920,981860,200028
2,7700,92 READE STREET,D2,7425,5,1930,982096,200034
2,7700,94 READE STREET,D2,7006,5,1930,982075,200046
2,7700,110 READE STREET,C5,8500,6,1900,981903,200148
2,7700,112 READE STREET,K4,8080,5,1920,981880,200162
2,7700,146 DUANE STREET,C7,21000,5,1920,982002,200198
2,7700,144 DUANE STREET,S3,26500,5.5,1920,982038,200177
2,7700,142 DUANE STREET,D0,29000,7,1920,982073,200156
2,7700,134 DUANE STREET,D0,38700,5,1920,982122,200127
2,7700,130 DUANE STREET,HB,17452,5,2003,982188,200089
2,7700,176 CHURCH STREET,K4,9000,2,1940,982129,200014
2,7700,100 READE STREET,RM,37902,7,1895,982022,200078
2,7700,150 DUANE STREET,RM,26327,5,1915,981936,200237
2,7700,104 READE STREET,RM,27716,5.5,1920,981946,200123
2,7700,132 DUANE STREET,RM,14240,6,1930,982166,200101
2,7700,148 DUANE STREET,RM,18436,6,1930,981970,200217
2,7700,131 DUANE STREET,D6,25000,5,1915,982183,200272
2,7700,145 DUANE STREET,S4,9373,5,1930,982054,200349
2,7700,147 DUANE STREET,S4,6200,5,1915,982026,200352
2,7700,149 DUANE STREET,D7,6200,5,1915,982003,200366
2,7700,135 WEST BROADWAY,K4,2055,3,1920,982033,200390
2,7700,137 WEST BROADWAY,S4,8717,5,1915,982046,200412
2,7700,141 WEST BROADWAY,O2,2422,3,1940,982058,200433
2,7700,70 THOMAS STREET,C6,11500,5,1915,982101,200428
2,7700,145 WEST BROADWAY,RM,15020,6,1915,982079,200467
2,7700,143 DUANE STREET,RM,8264,5,1915,982074,200337
2,7700,56 THOMAS STREET,R1,11133,6,1920,982251,200339
2,7700,68 THOMAS STREET,RM,11704,5,1880,982122,200415
2,7700,129 DUANE STREET,RM,19830,5,1915,982253,200292
2,7700,58 THOMAS STREET,R1,11223,7,2002,982230,200352
2,7700,60 THOMAS STREET,R1,11083,6,1920,982209,200364
2,7700,52 THOMAS STREET,RM,47441,7,1915,982286,200273
2,7700,137 DUANE STREET,RM,74927,5,1915,982145,200356
2,7700,63 THOMAS STREET,O6,110750,7,1920,982182,200540
2,7700,40 WORTH STREET,O6,702815,18,1929,982312,200527
2,7700,122 DUANE STREET,D5,29165,5,1920,982296,200024
2,7700,101 DUANE STREET,D6,434418,53,1988,982584,200041
2,7700,117 DUANE STREET,O6,314784,15,1954,982424,200188
2,7700,22 THOMAS STREET,O2,15840,2,1941,982545,200162
2,7700,18 THOMAS STREET,O7,7100,2,1949,982589,200141
2,7700,317 BROADWAY,K2,7692,2,1982,982775,200066
2,7700,315 BROADWAY,O5,20746,5,1910,982757,200039
2,7700,311 BROADWAY,D7,19930,5,1930,982736,200006
2,7700,8 THOMAS STREET,RM,13124,5,1915,982703,200077
2,7700,325 BROADWAY,O5,50000,5,1915,982872,200218
2,7700,319 BROADWAY,D7,13156,5,1910,982809,200119
2,7700,321 BROADWAY,RC,31720,6,1915,982830,200152
2,7700,66 MULBERRY STREET,C7,22000,5,1909,984488,200030
2,7700,125 WHITE STREET,Z1,1106962,24,1939,984033,200169
2,7700,75 CENTRE STREET,O3,353000,10,1934,983598,200014
2,7700,93 CENTRE STREET,Q2,17600,1,1915,983745,200254
2,7700,111 CENTRE STREET,Z3,640000,12,1958,983853,200432
2,7700,336 BROADWAY,D6,139697,15,1999,983120,200269
2,7700,346 BROADWAY,O3,418991,13,1920,983311,200269
2,7700,111 WORTH STREET,D6,419639,19,2001,983282,200155
2,7700,358 BROADWAY,L8,48180,5,1900,983405,200511
2,7700,360 BROADWAY,D7,31500,5,1900,983323,200567
2,7700,109 LEONARD STREET,Z1,400975,12,1972,983491,200373
2,7700,356 BROADWAY,RM,38352,5,1915,983309,200491
2,7700,354 BROADWAY,RM,43369,11,1900,983294,200467
2,7700,101 LEONARD STREET,RX,105353,12,1920,983269,200430
2,7700,364 BROADWAY,D0,93378,12,1920,983393,200640
2,7700,368 BROADWAY,O5,18800,5,1920,983414,200673
2,7700,370 BROADWAY,O5,18105,5,1915,983428,200695
2,7700,83 WHITE STREET,F5,25000,5,1915,983630,200639
2,7700,76 LAFAYETTE STREET,H8,317464,17,1920,983669,200563
2,7700,40 FRANKLIN STREET,O6,14840,7,1920,983666,200481
2,7700,54 FRANKLIN STREET,D5,29575,6,1920,983510,200593
2,7700,376 BROADWAY,RM,117020,24,1990,983470,200759
2,7700,81 WHITE STREET,R4,23233,6,1915,983588,200666
2,7700,77 WHITE STREET,R1,12586,6,1915,983555,200687
2,7700,50 FRANKLIN STREET,R4,75111,18,2007,983563,200559
2,7700,372 BROADWAY,RB,25166,5,1915,983442,200717
2,7700,83 WORTH STREET,O5,20700,5,1920,982808,200443
2,7700,74 LEONARD STREET,D7,24423,5,1920,982751,200597
2,7700,343 BROADWAY,D6,396000,21,2005,982955,200467
2,7700,339 BROADWAY,K1,4630,1,1968,982944,200383
2,7700,66 LEONARD STREET,RM,136112,14,1900,982684,200626
2,7700,65 WORTH STREET,RM,99735,7,1920,982673,200519
2,7700,79 WORTH STREET,RM,78126,6,1880,982794,200549
2,7700,93 WORTH STREET,RM,132235,17,1924,982907,200356
2,7700,83 LEONARD STREET,S9,11502,5,1910,982927,200677
2,7700,79 LEONARD STREET,S9,34932,5,1910,982889,200686
2,7700,75 LEONARD STREET,C7,23072,6,1920,982845,200713
2,7700,73 LEONARD STREET,S4,11945,5,1910,982812,200733
2,7700,71 LEONARD STREET,C7,12927,5,1910,982792,200745
2,7700,69 LEONARD STREET,D5,14425,5,1910,982776,200764
2,7700,253 CHURCH STREET,L8,16536,6,1915,982774,200813
2,7700,97 FRANKLIN STREET,L9,9360,5,1915,982793,200880
2,7700,91 FRANKLIN STREET,L9,10298,5,1920,982851,200830
2,7700,89 FRANKLIN STREET,L9,11200,5,1915,982871,200818
2,7700,87 FRANKLIN STREET,L9,11200,5,1915,982891,200806
2,7700,85 FRANKLIN STREET,K4,4300,2,1915,982911,200794
2,7700,81 FRANKLIN STREET,D7,25738,6,1915,982942,200775
2,7700,79 FRANKLIN STREET,S9,3231,3,1915,982977,200768
2,7700,77 FRANKLIN STREET,S3,5292,4,1915,982995,200758
2,7700,75 FRANKLIN STREET,L9,4400,3,1915,983012,200747
2,7700,71 FRANKLIN STREET,D9,18095,5,1921,983042,200729
2,7700,67 FRANKLIN STREET,D7,52282,7,1915,983143,200682
2,7700,359 BROADWAY,L9,21500,5,1915,983121,200646
2,7700,355 BROADWAY,K4,15000,2,1915,983096,200626
