X,Y,FGA-bin,FG%,FGM,FGA,FG%-bin
2,9,1-10,100,3,3,91-100
2,8,1-10,0,0,4,1-10
2,4,1-10,0,0,1,1-10
2,6,1-10,50,1,2,41-50
2,13,1-10,0,0,1,1-10
2,11,1-10,33,1,3,31-40
48,10,1-10,50,1,2,41-50
48,7,1-10,100,1,1,91-100
48,8,1-10,50,2,4,41-50
48,6,1-10,0,0,2,1-10
48,11,1-10,50,1,2,41-50
48,18,1-10,100,1,1,91-100
48,9,1-10,0,0,1,1-10
48,4,1-10,100,1,1,91-100
48,5,1-10,0,0,1,1-10
49,12,1-10,100,1,1,91-100
49,7,1-10,100,1,1,91-100
49,5,1-10,100,3,3,91-100
22,7,11-20,73,11,15,71-80
22,6,1-10,66,4,6,61-70
22,10,1-10,66,2,3,61-70
22,8,1-10,75,3,4,71-80
22,25,1-10,0,0,1,1-10
22,31,1-10,100,1,1,91-100
22,9,1-10,0,0,1,1-10
23,7,41-50,76,38,50,71-80
23,8,11-20,52,9,17,51-60
23,6,41-50,73,31,42,71-80
23,9,1-10,66,2,3,61-70
23,14,1-10,0,0,1,1-10
23,10,1-10,66,2,3,61-70
23,12,1-10,0,0,1,1-10
23,16,1-10,0,0,1,1-10
23,34,1-10,0,0,1,1-10
23,15,1-10,50,1,2,41-50
23,23,1-10,100,1,1,91-100
23,18,1-10,50,1,2,41-50
23,5,1-10,100,2,2,91-100
23,19,1-10,0,0,2,1-10
23,11,1-10,0,0,1,1-10
23,22,1-10,0,0,1,1-10
23,33,1-10,100,1,1,91-100
24,8,11-20,60,12,20,51-60
24,6,81-90,92,75,81,91-100
24,21,1-10,33,1,3,31-40
24,7,81-90,79,64,81,71-80
24,15,1-10,50,1,2,41-50
24,9,1-10,83,5,6,81-90
24,5,1-10,100,3,3,91-100
24,30,1-10,0,0,1,1-10
24,13,1-10,100,2,2,91-100
24,24,1-10,100,1,1,91-100
24,35,1-10,0,0,1,1-10
24,18,1-10,100,1,1,91-100
24,19,1-10,0,0,2,1-10
24,32,1-10,100,1,1,91-100
24,10,1-10,100,1,1,91-100
24,34,1-10,0,0,1,1-10
24,33,1-10,100,1,1,91-100
24,25,1-10,0,0,2,1-10
24,12,1-10,0,0,2,1-10
24,31,1-10,50,1,2,41-50
24,14,1-10,100,1,1,91-100
26,7,51-60,68,39,57,61-70
26,15,1-10,0,0,1,1-10
