X,Y,FG%,FGM,FGA,FGA-bin
2,9,100,3,3,10-Jan
2,8,0,0,4,10-Jan
2,4,0,0,1,10-Jan
2,6,50,1,2,10-Jan
2,13,0,0,1,10-Jan
2,11,33,1,3,10-Jan
48,10,50,1,2,10-Jan
48,7,100,1,1,10-Jan
48,8,50,2,4,10-Jan
48,6,0,0,2,10-Jan
48,11,50,1,2,10-Jan
48,18,100,1,1,10-Jan
48,9,0,0,1,10-Jan
48,4,100,1,1,10-Jan
48,5,0,0,1,10-Jan
49,12,100,1,1,10-Jan
49,7,100,1,1,10-Jan
49,5,100,3,3,10-Jan
22,7,73,11,15,20-Nov
22,6,66,4,6,10-Jan
22,10,66,2,3,10-Jan
22,8,75,3,4,10-Jan
22,25,0,0,1,10-Jan
22,31,100,1,1,10-Jan
22,9,0,0,1,10-Jan
23,7,76,38,50,41-50
23,8,52,9,17,20-Nov
23,6,73,31,42,41-50
23,9,66,2,3,10-Jan
23,14,0,0,1,10-Jan
23,10,66,2,3,10-Jan
23,12,0,0,1,10-Jan
23,16,0,0,1,10-Jan
23,34,0,0,1,10-Jan
23,15,50,1,2,10-Jan
23,23,100,1,1,10-Jan
23,18,50,1,2,10-Jan
23,5,100,2,2,10-Jan
23,19,0,0,2,10-Jan
23,11,0,0,1,10-Jan
23,22,0,0,1,10-Jan
23,33,100,1,1,10-Jan
24,8,60,12,20,20-Nov
24,6,92,75,81,81-90
24,21,33,1,3,10-Jan
24,7,79,64,81,81-90
24,15,50,1,2,10-Jan
24,9,83,5,6,10-Jan
24,5,100,3,3,10-Jan
24,30,0,0,1,10-Jan
24,13,100,2,2,10-Jan
24,24,100,1,1,10-Jan
24,35,0,0,1,10-Jan
24,18,100,1,1,10-Jan
24,19,0,0,2,10-Jan
24,32,100,1,1,10-Jan
24,10,100,1,1,10-Jan
24,34,0,0,1,10-Jan
24,33,100,1,1,10-Jan
24,25,0,0,2,10-Jan
24,12,0,0,2,10-Jan
24,31,50,1,2,10-Jan
24,14,100,1,1,10-Jan
26,7,68,39,57,51-60
26,15,0,0,1,10-Jan
26,9,100,3,3,10-Jan
26,8,70,12,17,20-Nov
26,6,79,23,29,21-30
26,31,33,1,3,10-Jan
26,27,100,1,1,10-Jan
26,5,0,0,1,10-Jan
26,24,0,0,1,10-Jan
26,12,100,2,2,10-Jan
26,23,50,1,2,10-Jan
26,32,50,1,2,10-Jan
25,7,85,68,80,71-80
25,6,83,82,98,91-100
