Analysis Id,Sample Id,Sample#,Type,Fixed?,Latitude,Longitude,Distance(miles),Bearing,Direction,Collection Date,Source,Description,Weight,Weight Unit,Depth,Surface Area(cm2),Shape,Uncertainty%,MDA,Method Code,Moisture%,Nuclide,Result,Unit
271153,18009,DOD-W1100461,Soil,Yes,35.29,139.67,165.4393908,207.6469175,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100461, Yokosuka (LAT. 35.29N, LONG. 139.67E), Shallow soil sample behind #22 3rd Ave Yokosuka;",,,,,,,,,,Mo-99,0,uCi/g
271155,18011,DOD-W1100463,Soil,No,35.31,139.6,166.0530642,209.0765843,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100463, Ikego (LAT. 35.31N, LONG. 139.60E), Elem School soil sample;",,,,,,,,,,Mo-99,0,uCi/g
271157,18013,DOD-W1100462,Soil,No,0,0,8859.958479,306.9169452,NW,3/15/2011 8:00,DOD,"Description: US Navy, W1100462, Negishi (LAT. 35.42N, LONG. 139.64E), Elem School soil sample;",,,,,,,,,,Mo-99,0,uCi/g
271213,18009,DOD-W1100461,Soil,Yes,35.29,139.67,165.4393908,207.6469175,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100461, Yokosuka (LAT. 35.29N, LONG. 139.67E), Shallow soil sample behind #22 3rd Ave Yokosuka;",,,,,,,,,,Tc-99m,0,uCi/g
271215,18011,DOD-W1100463,Soil,No,35.31,139.6,166.0530642,209.0765843,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100463, Ikego (LAT. 35.31N, LONG. 139.60E), Elem School soil sample;",,,,,,,,,,Tc-99m,0,uCi/g
271217,18013,DOD-W1100462,Soil,No,0,0,8859.958479,306.9169452,NW,3/15/2011 8:00,DOD,"Description: US Navy, W1100462, Negishi (LAT. 35.42N, LONG. 139.64E), Elem School soil sample;",,,,,,,,,,Tc-99m,0,uCi/g
271273,18009,DOD-W1100461,Soil,Yes,35.29,139.67,165.4393908,207.6469175,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100461, Yokosuka (LAT. 35.29N, LONG. 139.67E), Shallow soil sample behind #22 3rd Ave Yokosuka;",,,,,,,,,,I-131,3.44E-06,uCi/g
271275,18011,DOD-W1100463,Soil,No,35.31,139.6,166.0530642,209.0765843,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100463, Ikego (LAT. 35.31N, LONG. 139.60E), Elem School soil sample;",,,,,,,,,,I-131,1.81E-05,uCi/g
271277,18013,DOD-W1100462,Soil,No,0,0,8859.958479,306.9169452,NW,3/15/2011 8:00,DOD,"Description: US Navy, W1100462, Negishi (LAT. 35.42N, LONG. 139.64E), Elem School soil sample;",,,,,,,,,,I-131,4.76E-05,uCi/g
271333,18009,DOD-W1100461,Soil,Yes,35.29,139.67,165.4393908,207.6469175,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100461, Yokosuka (LAT. 35.29N, LONG. 139.67E), Shallow soil sample behind #22 3rd Ave Yokosuka;",,,,,,,,,,I-132,3.30E-07,uCi/g
271335,18011,DOD-W1100463,Soil,No,35.31,139.6,166.0530642,209.0765843,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100463, Ikego (LAT. 35.31N, LONG. 139.60E), Elem School soil sample;",,,,,,,,,,I-132,1.44E-06,uCi/g
271337,18013,DOD-W1100462,Soil,No,0,0,8859.958479,306.9169452,NW,3/15/2011 8:00,DOD,"Description: US Navy, W1100462, Negishi (LAT. 35.42N, LONG. 139.64E), Elem School soil sample;",,,,,,,,,,I-132,3.19E-06,uCi/g
271393,18009,DOD-W1100461,Soil,Yes,35.29,139.67,165.4393908,207.6469175,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100461, Yokosuka (LAT. 35.29N, LONG. 139.67E), Shallow soil sample behind #22 3rd Ave Yokosuka;",,,,,,,,,,Te-132,3.62E-07,uCi/g
271395,18011,DOD-W1100463,Soil,No,35.31,139.6,166.0530642,209.0765843,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100463, Ikego (LAT. 35.31N, LONG. 139.60E), Elem School soil sample;",,,,,,,,,,Te-132,1.71E-06,uCi/g
271397,18013,DOD-W1100462,Soil,No,0,0,8859.958479,306.9169452,NW,3/15/2011 8:00,DOD,"Description: US Navy, W1100462, Negishi (LAT. 35.42N, LONG. 139.64E), Elem School soil sample;",,,,,,,,,,Te-132,4.58E-06,uCi/g
271453,18009,DOD-W1100461,Soil,Yes,35.29,139.67,165.4393908,207.6469175,SSW,3/15/2011 8:00,DOD,"Description: US Navy, W1100461, Yokosuka (LAT. 35.29N, LONG. 139.67E), Shallow soil sample behind #22 3rd Ave Yokosuka;",,,,,,,,,,Cs-134,2.61E-07,uCi/g
