x,y,z,QCLOUD,QGRAUP,QICE,QRAIN,QSNOW,QVAPOR,CLOUD,PRECIP,P,TC,U,V,W,Velocity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0.011956,0,0,1255.485352,26.033724,-3.605096,-4.492164,-0.00053,5.759883
345,0,0,0,0,0,0,0,0.015104,0,0,1273.414673,27.386406,-4.47495,-3.917112,0.01696,5.947203
360,0,0,0,0,0,0.000001,0,0.017356,0,0.000001,1400.99646,27.262766,-2.859147,-3.62659,0.046768,4.61834
375,0,0,0,0,0,0,0,0.01712,0,0,1167.31543,26.187948,-6.656164,-3.656408,-0.000489,7.594329
390,0,0,0,0,0,0,0,0.017793,0,0,1143.66748,25.992685,-5.947529,-4.339821,0.006479,7.362553
