x,y,z,QCLOUD,QGRAUP,QICE,QRAIN,QSNOW,QVAPOR,CLOUD,PRECIP,P,TC,U,V,W,Velocity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0.011956,0,0,1255.485352,26.033724,-3.605096,-4.492164,-0.00053,5.759883
360,0,0,0,0,0,0.000001,0,0.017356,0,0.000001,1400.99646,27.262766,-2.859147,-3.62659,0.046768,4.61834
390,0,0,0,0,0,0,0,0.017793,0,0,1143.66748,25.992685,-5.947529,-4.339821,0.006479,7.362553
420,0,0,0,0,0,0,0,0.018325,0,0,1053.071045,26.686636,-3.867115,-4.925307,-0.000759,6.262047
450,0,0,0,0,0,0,0,0.018114,0,0,1024.755859,27.477533,-0.500664,-3.587928,0.002944,3.622692
480,0,0,0,0,0,0,0,0.017417,0,0,1016.067078,27.975483,-0.660641,-2.480653,-0.000639,2.567116
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,30,0,0,0,0,0,0,0.018418,0,0,1013.640503,27.520271,0.540141,-3.117082,0.000496,3.163535
480,30,0,0,0,0,0,0,0.018347,0,0,1000.516541,27.468056,1.779904,-3.127748,-0.000181,3.598732
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,60,0,0,0,0,0,0,0.012723,0,0,1312.614868,25.421352,-3.625268,-10.000988,0.0011,10.637778
330,60,0,0,0,0,0,0,0.015196,0,0,1245.773438,25.002689,-5.596229,-9.66753,-0.000237,11.170448
360,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,60,0,0,0,0,0.001024,0,0.016547,0,0.001024,1082.527832,23.909153,-0.561734,0.26712,-0.019998,0.622333
480,60,0,0,0,0,0,0,0.018379,0,0,1007.604553,27.726093,1.232861,-1.363196,-0.001832,1.838002
0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,90,0,0,0,0,0,0,0.013306,0,0,1259.535522,25.196518,-1.873908,-11.859108,0.003346,12.006248
300,90,0,0,0,0,0,0,0.014552,0,0,1165.123169,25.218452,-0.615878,-11.667287,-0.003411,11.683531
330,90,0,0,0,0,0,0,0.01647,0,0,1132.576904,25.372326,-2.536178,-12.460991,-0.012519,12.716472
360,90,0,0,0,0,0,0,0.017298,0,0,1058.052368,25.897575,-2.229518,-9.416219,0.005616,9.676567
