Position_z,Position_y,Position_x,Velocity_z,Velocity_y,Velocity_x,Velocity_length,skip
0,0,0,1.425534,-0.456864,-0.43139,1.557873304,0
2,0,0,1.407485,-0.360073,-0.512259,1.540479105,1
4,0,0,1.357635,-0.288733,-1.895724,2.349533788,2
6,0,0,1.273143,0.922648,-3.355459,3.705573846,3
8,0,0,1.15396,1.761922,-3.48507,4.072064061,0
10,0,0,0.885039,-0.449798,-6.997257,7.067334561,1
12,0,0,0.345471,-2.536345,-13.49725,13.73783657,2
14,0,0,0.162152,-2.80544,-7.4997,8.008887997,3
16,0,0,-0.177836,-2.005036,-9.065915,9.286689927,0
18,0,0,-0.349281,-1.789705,-10.553737,10.71010765,1
20,0,0,-0.899158,1.017218,-4.545337,4.743764962,2
22,0,0,-1.168565,1.595193,-3.331868,3.874471478,3
24,0,0,-1.288179,0.07827,-3.036857,3.299701769,0
26,0,0,-1.372483,-0.31855,-0.713708,1.5794185,1
28,0,0,-1.421891,-0.425622,-0.467963,1.556251095,2
0,2,0,0.469914,-0.450175,-0.434272,0.782348304,3
2,2,0,0.441513,-0.355454,-1.226533,1.35117152,0
4,2,0,0.48784,-0.512174,-6.39498,6.433978495,1
6,2,0,0.839074,0.932932,-8.675241,8.765512746,2
8,2,0,1.213422,1.458742,-8.747787,8.951206543,3
10,2,0,2.032324,-0.580228,-11.530235,11.72234296,0
12,2,0,1.537793,-2.018163,-12.15024,12.41233746,1
14,2,0,0.741615,-2.255706,-5.846943,6.310700818,2
16,2,0,-0.754209,-1.972644,-8.237849,8.504252566,3
18,2,0,-1.549481,-1.55094,-12.593637,12.7830356,0
20,2,0,-2.034771,0.623074,-10.047396,10.27028143,1
22,2,0,-1.217508,1.485361,-8.364415,8.582077914,2
24,2,0,-0.847113,0.006151,-8.953101,8.993089335,3
26,2,0,-0.497529,-0.379658,-2.598917,2.673208723,0
28,2,0,-0.452088,-0.413388,-0.707066,0.935529543,1
0,4,0,0.034681,-0.430584,-0.43364,0.61208578,2
2,4,0,0.004522,-0.270039,-1.268203,1.296641955,3
4,4,0,-0.039423,-0.636316,-3.221019,3.283506605,0
6,4,0,0.141383,0.214856,-6.036271,6.041748078,1
8,4,0,1.102076,0.02588,-5.427496,5.538316903,2
10,4,0,1.547931,-0.834804,-4.721081,5.038014878,3
12,4,0,1.107984,-1.014778,-3.851731,4.134396525,0
14,4,0,0.392004,-0.980909,-2.804528,2.996869518,1
16,4,0,-0.397817,-0.950842,-2.67596,2.867598437,2
18,4,0,-1.107596,-1.010092,-4.33078,4.582871388,3
20,4,0,-1.537031,-0.473916,-5.070954,5.319928114,0
22,4,0,-1.098133,0.332339,-5.877801,5.98873024,1
24,4,0,-0.146551,-0.366776,-5.111072,5.126310449,2
26,4,0,0.034139,-0.324611,-2.049552,2.075379766,3
28,4,0,-0.011065,-0.349341,-0.767508,0.843344591,0
0,6,0,-0.062583,-0.400713,-0.395609,0.566563343,1
2,6,0,-0.074336,-0.191214,-0.941432,0.963526256,2
4,6,0,-0.051291,-0.135269,-1.741332,1.747330994,3
6,6,0,0.082172,-0.101389,-2.341339,2.344973407,0
8,6,0,0.295438,-0.252372,-2.22754,2.261174405,1
10,6,0,0.304385,-0.388635,-1.844155,1.909082255,2
12,6,0,0.200684,-0.361803,-1.520928,1.576197151,3
14,6,0,0.106855,-0.508357,-1.360345,1.456153615,0
16,6,0,-0.105159,-0.440603,-1.424173,1.494475879,1
18,6,0,-0.198644,-0.399491,-1.67621,1.73456982,2
20,6,0,-0.305767,-0.33695,-2.062109,2.111710749,3
22,6,0,-0.29968,-0.179112,-2.367818,2.393418328,0
24,6,0,-0.086763,-0.100831,-2.14275,2.146875001,1
26,6,0,0.047674,-0.149671,-1.341395,1.350560907,2
28,6,0,0.070301,-0.288707,-0.627558,0.69435078,3
0,8,0,-0.053725,-0.37283,-0.33729,0.505621527,0
2,8,0,-0.058016,-0.186676,-0.65292,0.681555802,1
4,8,0,-0.018765,-0.11948,-1.048899,1.055848809,2
6,8,0,0.073052,-0.112988,-1.314057,1.320927205,3
8,8,0,0.169604,-0.196077,-1.335439,1.360370916,0
10,8,0,0.188411,-0.299622,-1.209045,1.259786434,1
12,8,0,0.137137,-0.360573,-1.070032,1.137447988,2
14,8,0,0.054777,-0.409164,-0.998946,1.080883347,3
16,8,0,-0.054142,-0.38986,-1.026237,1.099128999,0
18,8,0,-0.137149,-0.337713,-1.141212,1.198008659,1
20,8,0,-0.189984,-0.253447,-1.291288,1.329569104,2
22,8,0,-0.172502,-0.149496,-1.363828,1.382798904,3
24,8,0,-0.076088,-0.10591,-1.220777,1.227722605,0
26,8,0,0.01614,-0.143299,-0.861905,0.873885194,1
28,8,0,0.055297,-0.267911,-0.472161,0.545683124,2
0,10,0,-0.024444,-0.353487,-0.276801,0.449632474,3
2,10,0,-0.026807,-0.214626,-0.458808,0.507235365,0
4,10,0,0.003754,-0.173859,-0.675761,0.697777883,1
6,10,0,0.057405,-0.179029,-0.82468,0.845839121,2
8,10,0,0.105718,-0.226586,-0.871632,0.906785451,3
10,10,0,0.117703,-0.291218,-0.844503,0.901025658,0
12,10,0,0.089105,-0.342963,-0.796746,0.871990544,1
14,10,0,0.033427,-0.370929,-0.769337,0.854742714,2
16,10,0,-0.033754,-0.360927,-0.780039,0.860156075,3
18,10,0,-0.08985,-0.320603,-0.823044,0.887840488,0
20,10,0,-0.119162,-0.259776,-0.868315,0.914141177,1
22,10,0,-0.107736,-0.198637,-0.865163,0.894187184,2
24,10,0,-0.059497,-0.170277,-0.766475,0.787412265,3
26,10,0,-0.005683,-0.185394,-0.573353,0.602608409,0
28,10,0,0.024864,-0.270207,-0.352127,0.444548609,1
0,12,0,-0.001523,-0.344022,-0.221874,0.409367229,2
2,12,0,-0.003769,-0.248844,-0.332458,0.415290096,3
4,12,0,0.014867,-0.227842,-0.463022,0.516258053,0
6,12,0,0.044047,-0.23515,-0.55869,0.607758321,1
8,12,0,0.068109,-0.264402,-0.606147,0.664801804,2
10,12,0,0.073311,-0.303972,-0.614672,0.689634068,3
12,12,0,0.055491,-0.337965,-0.605466,0.695621067,0
14,12,0,0.020515,-0.355605,-0.597759,0.695838777,1
16,12,0,-0.021182,-0.349285,-0.600711,0.695199535,2
18,12,0,-0.056374,-0.322416,-0.611327,0.693434067,3
20,12,0,-0.074519,-0.283534,-0.614636,0.680971382,0
22,12,0,-0.069562,-0.246586,-0.588789,0.64211838,1
24,12,0,-0.045551,-0.227097,-0.516475,0.566033892,2
26,12,0,-0.016313,-0.23171,-0.398988,0.461678527,3
28,12,0,0.002309,-0.28274,-0.265143,0.387618433,0
0,14,0,0.011298,-0.341745,-0.174173,0.383736268,1
2,14,0,0.008875,-0.28009,-0.24559,0.372617259,2
4,14,0,0.018334,-0.271623,-0.329704,0.427574458,3
6,14,0,0.033149,-0.279105,-0.395554,0.485243675,0
8,14,0,0.04461,-0.298103,-0.436535,0.530488696,1
10,14,0,0.045806,-0.32254,-0.45543,0.559952432,2
12,14,0,0.034222,-0.343667,-0.460699,0.575779229,3
14,14,0,0.012513,-0.354493,-0.460981,0.581657412,0
16,14,0,-0.013189,-0.350405,-0.460517,0.578820802,1
18,14,0,-0.035002,-0.333424,-0.457982,0.567577498,2
20,14,0,-0.046744,-0.309163,-0.446573,0.545155213,3
22,14,0,-0.045671,-0.285985,-0.416979,0.507685677,0
24,14,0,-0.034253,-0.271987,-0.362908,0.454810304,1
26,14,0,-0.01944,-0.271125,-0.285921,0.394509186,2
28,14,0,-0.010018,-0.298661,-0.20024,0.359714902,3
0,16,0,0.016005,-0.344417,-0.132848,0.369496713,0
2,16,0,0.013387,-0.306795,-0.181041,0.356480333,1
4,16,0,0.017125,-0.305701,-0.237472,0.387478151,2
6,16,0,0.023934,-0.313121,-0.284061,0.423448047,3
8,16,0,0.028906,-0.326446,-0.316864,0.455856712,0
10,16,0,0.028347,-0.342222,-0.336273,0.480623533,1
12,16,0,0.020792,-0.355605,-0.345505,0.496246842,2
14,16,0,0.007515,-0.362376,-0.348292,0.502673013,3
16,16,0,-0.008063,-0.359607,-0.346551,0.499479531,0
18,16,0,-0.021397,-0.3486,-0.33976,0.487254194,1
20,16,0,-0.029038,-0.332952,-0.324996,0.466178764,2
22,16,0,-0.029673,-0.31748,-0.298525,0.436796535,3
24,16,0,-0.024751,-0.306634,-0.258301,0.401691957,0
26,16,0,-0.017978,-0.302814,-0.205934,0.366644705,1
28,16,0,-0.014295,-0.315336,-0.149115,0.349108039,2
0,18,0,0.015003,-0.35119,-0.096327,0.364470022,3
2,18,0,0.012393,-0.329998,-0.12944,0.354692797,0
4,18,0,0.012943,-0.333361,-0.167808,0.373438887,1
6,18,0,0.015531,-0.340978,-0.200711,0.39596984,2
8,18,0,0.017395,-0.351357,-0.225557,0.417887889,3
10,18,0,0.016463,-0.362438,-0.241909,0.436064558,0
12,18,0,0.011874,-0.371414,-0.250818,0.448329143,1
14,18,0,0.004238,-0.375792,-0.253822,0.453501043,2
16,18,0,-0.004638,-0.373812,-0.251764,0.450712807,3
18,18,0,-0.012307,-0.366293,-0.244513,0.440577611,0
20,18,0,-0.016951,-0.35543,-0.230943,0.424208075,1
22,18,0,-0.017941,-0.344056,-0.209719,0.403334191,2
24,18,0,-0.016133,-0.334766,-0.180467,0.380653237,3
26,18,0,-0.013599,-0.329031,-0.144604,0.359661853,0
28,18,0,-0.013116,-0.332313,-0.106533,0.34921804,1
0,20,0,0.009827,-0.360064,-0.063321,0.365721483,2
2,20,0,0.00741,-0.350351,-0.085719,0.360760971,3
4,20,0,0.006498,-0.356826,-0.111371,0.373858955,0
6,20,0,0.007202,-0.365053,-0.133953,0.388920259,1
8,20,0,0.007964,-0.374139,-0.151708,0.403805317,2
10,20,0,0.007583,-0.382804,-0.164015,0.4165301,3
12,20,0,0.005508,-0.389378,-0.171066,0.425334153,0
14,20,0,0.001957,-0.392418,-0.173445,0.429044152,1
16,20,0,-0.002217,-0.390893,-0.171523,0.426875148,2
18,20,0,-0.005792,-0.38532,-0.165336,0.419334047,3
20,20,0,-0.007909,-0.377014,-0.154557,0.407541378,0
22,20,0,-0.008341,-0.367653,-0.138852,0.393088004,1
24,20,0,-0.007635,-0.358815,-0.11844,0.377934559,2
26,20,0,-0.006993,-0.351443,-0.094442,0.363978537,3
28,20,0,-0.007976,-0.348678,-0.06944,0.355614789,0
0,22,0,0.00138,-0.369907,-0.03263,0.371345944,1
2,22,0,-0.000666,-0.368349,-0.046816,0.371312762,2
4,22,0,-0.001899,-0.377256,-0.062945,0.382475841,3
6,22,0,-0.001636,-0.38646,-0.077404,0.394138792,0
8,22,0,-0.000736,-0.395361,-0.089022,0.405260137,1
10,22,0,0.000074,-0.403096,-0.097261,0.414663831,2
12,22,0,0.000385,-0.408616,-0.102038,0.421163789,3
14,22,0,0.000165,-0.41104,-0.103558,0.423884617,0
16,22,0,-0.000306,-0.40975,-0.101994,0.422253398,1
18,22,0,-0.000544,-0.405085,-0.09744,0.416639781,2
20,22,0,-0.000268,-0.397873,-0.089882,0.407899215,3
22,22,0,0.000496,-0.389166,-0.07934,0.397171571,0
24,22,0,0.001341,-0.379993,-0.066157,0.385711326,1
26,22,0,0.001541,-0.371019,-0.051133,0.374529113,2
28,22,0,0.000237,-0.364047,-0.035776,0.365800761,3
0,24,0,-0.009761,-0.380002,-0.00315,0.380140395,0
2,24,0,-0.011287,-0.384422,-0.010586,0.384733328,1
4,24,0,-0.012135,-0.395451,-0.019136,0.396099657,2
6,24,0,-0.011439,-0.405964,-0.026905,0.407015355,3
8,24,0,-0.009622,-0.415464,-0.03319,0.416898662,0
10,24,0,-0.007139,-0.423273,-0.037639,0.425003167,1
12,24,0,-0.004345,-0.428625,-0.040154,0.43052365,2
14,24,0,-0.00146,-0.430912,-0.040826,0.432844135,3
16,24,0,0.001415,-0.429726,-0.039753,0.431563134,0
18,24,0,0.004285,-0.425305,-0.037023,0.426934898,1
20,24,0,0.007048,-0.418227,-0.032693,0.419562069,2
22,24,0,0.00949,-0.409248,-0.026842,0.4102371,3
24,24,0,0.011257,-0.399142,-0.019724,0.399787559,0
26,24,0,0.011893,-0.388466,-0.011829,0.388827985,1
28,24,0,0.01098,-0.378305,-0.003976,0.378485194,2
0,26,0,-0.023004,-0.389799,0.025551,0.391312277,3
2,26,0,-0.023948,-0.398733,0.023865,0.400163779,0
4,26,0,-0.024069,-0.4118,0.021544,0.413065008,1
6,26,0,-0.022424,-0.423976,0.019378,0.425010578,2
8,26,0,-0.019165,-0.434699,0.017667,0.435479782,3
10,26,0,-0.014611,-0.4433,0.016543,0.443849121,0
12,26,0,-0.009126,-0.449099,0.016031,0.449477684,1
14,26,0,-0.00309,-0.451577,0.016071,0.451873447,2
16,26,0,0.00311,-0.450419,0.0166,0.450735519,3
18,26,0,0.009134,-0.445802,0.017565,0.446241395,0
20,26,0,0.014596,-0.438199,0.018932,0.438850575,1
22,26,0,0.019117,-0.428256,0.020672,0.429180606,2
24,26,0,0.022333,-0.416686,0.022683,0.417900112,3
26,26,0,0.023926,-0.404097,0.024774,0.405562067,0
28,26,0,0.02375,-0.3913,0.02662,0.392922864,1
0,28,0,-0.033525,-0.398979,0.043229,0.40271195,2
2,28,0,-0.033891,-0.411285,0.044783,0.415101756,3
4,28,0,-0.033017,-0.426517,0.045807,0.430238486,0
6,28,0,-0.030171,-0.44075,0.04656,0.444228191,1
8,28,0,-0.025514,-0.453224,0.047117,0.456380291,2
10,28,0,-0.019357,-0.463168,0.047529,0.466002463,3
12,28,0,-0.012072,-0.469859,0.04783,0.472441448,0
14,28,0,-0.004089,-0.472764,0.048032,0.475215312,1
16,28,0,0.00412,-0.471581,0.048135,0.474049145,2
18,28,0,0.012097,-0.466452,0.048125,0.469084024,3
20,28,0,0.019371,-0.45783,0.047975,0.460744121,0
22,28,0,0.025511,-0.446374,0.047654,0.44963481,1
24,28,0,0.030143,-0.432854,0.047116,0.436452865,2
26,28,0,0.032956,-0.418025,0.046299,0.421870354,3
28,28,0,0.033788,-0.402825,0.045131,0.40675105,0
0,0,2,0.64419,-0.462223,-0.423014,0.898649933,1
2,0,2,0.592886,-0.766127,-0.395182,1.046247199,2
4,0,2,0.580936,-0.203985,-2.31169,2.392280747,3
6,0,2,1.198926,3.155907,-3.484854,4.851945996,0
8,0,2,2.009156,3.798327,-3.403533,5.481608588,1
10,0,2,1.451589,0.886468,-6.32312,6.547883832,2
12,0,2,-0.200784,-2.16197,-13.400275,13.57504323,3
14,0,2,0.420623,-2.781043,-7.219111,7.747689172,0
16,0,2,-0.46356,-2.151654,-9.642035,9.890062778,1
18,0,2,0.199346,-1.219246,-10.072626,10.14810791,2
20,0,2,-1.49238,2.839352,-4.143697,5.240166283,3
22,0,2,-2.030735,3.834483,-3.449897,5.543368455,0
24,0,2,-1.21276,1.609021,-3.189641,3.772737084,1
26,0,2,-0.594764,-0.967722,-0.632002,1.299867921,2
28,0,2,-0.602904,-0.567361,-0.411509,0.924516844,3
0,2,2,-0.590564,-0.453259,-0.426533,0.85798599,0
2,2,2,-0.640206,-0.918664,-1.323008,1.73325054,1
4,2,2,0.253372,-0.307028,-7.405731,7.416421995,2
6,2,2,0.870842,3.130348,-8.202867,8.8229514,3
8,2,2,1.826097,3.513707,-7.946591,8.878573965,0
10,2,2,2.607055,0.483047,-11.175608,11.48582972,1
12,2,2,1.85427,-1.858742,-12.306781,12.58372352,2
14,2,2,1.114702,-2.282075,-5.519881,6.076142947,3
16,2,2,-1.146352,-1.982513,-8.712583,9.008528361,0
18,2,2,-1.874235,-1.125545,-12.538524,12.72769392,1
20,2,2,-2.62451,2.353682,-9.330834,9.974584444,2
22,2,2,-1.836632,3.692653,-7.752477,8.78121876,3
24,2,2,-0.881921,1.696473,-8.763862,8.97001017,0
