height,x,y,z,ox,ox,oz,type,dx,dy,dz
1.74679,1.64626,1.52542,1.65988,3.09755,1.59988,0.584454,DSLR,1.45129,0.07446,-1.075426
1.7594,2.37262,1.52316,1.46387,2.83845,1.57407,0.103568,DSLR,0.46583,0.05091,-1.360302
1.78864,1.53168,1.54264,1.7697,2.70095,1.51427,0.188787,Mobile,1.16927,-0.02837,-1.580913
1.63293,4.30862,1.21326,1.27352,2.77517,1.2046,0.58449,DSLR,-1.53345,-0.00866,-0.68903
1.69054,1.74479,1.48632,1.95801,2.93303,1.54859,0.424451,DSLR,1.18824,0.06227,-1.533559
1.77315,2.27232,1.41068,2.49799,2.96751,1.52025,0.417914,Mobile,0.69519,0.10957,-2.080076
1.61785,3.24772,1.19592,2.05665,3.1723,1.44711,0.486178,Mobile,-0.07542,0.25119,-1.570472
1.65754,3.96853,1.39347,1.62798,2.79923,1.25005,0.0878384,DSLR,-1.1693,-0.14342,-1.5401416
1.61405,1.41692,1.46077,1.38228,3.06679,1.39334,0.390484,DSLR,1.64987,-0.06743,-0.991796
1.61907,3.70737,1.43916,1.18063,2.90631,1.27195,0.0696005,Mobile,-0.80106,-0.16721,-1.1110295
1.73657,4.02832,1.51496,2.16123,3.29965,1.22855,0.517289,Mobile,-0.72867,-0.28641,-1.643941
1.70466,3.3848,1.48133,1.8566,3.15646,1.40344,0.496268,Mobile,-0.22834,-0.07789,-1.360332
1.67455,2.16838,1.25403,1.42578,2.878,1.42424,0.459078,Mobile,0.70962,0.17021,-0.966702
1.65061,1.8795,1.46032,1.76565,2.72992,1.39003,0.535746,Mobile,0.85042,-0.07029,-1.229904
1.76509,1.91629,1.40568,1.13849,2.97608,1.34588,0.458748,DSLR,1.05979,-0.0598,-0.679742
1.70998,3.32372,1.53112,2.08471,2.88276,1.32885,0.309677,DSLR,-0.44096,-0.20227,-1.775033
1.73425,3.89435,1.50374,1.56304,3.0637,1.3457,0.0173223,Mobile,-0.83065,-0.15804,-1.5457177
1.60426,2.27611,1.37511,1.53193,3.07366,1.36485,0.0853664,Mobile,0.79755,-0.01026,-1.4465636
1.64104,4.02251,1.40747,1.1858,2.95192,1.4218,0.552922,Mobile,-1.07059,0.01433,-0.632878
1.68069,1.98617,1.49277,1.8123,3.03566,1.49724,0.171996,Mobile,1.04949,0.00447,-1.640304
1.70392,1.33822,1.45849,1.14005,3.08636,1.38115,0.0919401,DSLR,1.74814,-0.07734,-1.0481099
1.61764,3.53985,1.34393,1.429,3.27438,1.33351,0.452339,Mobile,-0.26547,-0.01042,-0.976661
1.64656,2.43507,1.31251,1.31478,2.92004,1.24409,0.0742332,DSLR,0.48497,-0.06842,-1.2405468
1.72457,2.04001,1.35961,1.88845,2.77308,1.42866,0.581378,DSLR,0.73307,0.06905,-1.307072
1.80379,4.16203,1.53059,1.61746,2.89668,1.22767,0.25295,DSLR,-1.26535,-0.30292,-1.36451
1.72519,4.6332,1.50131,1.82438,3.18706,1.24702,0.382849,DSLR,-1.44614,-0.25429,-1.441531
1.79954,1.45574,1.63978,1.35427,3.27587,1.24537,0.570647,Mobile,1.82013,-0.39441,-0.783623
1.64555,1.42506,1.35434,1.32221,2.70736,1.38438,0.275216,Mobile,1.2823,0.03004,-1.046994
1.80599,3.61769,1.38513,1.27316,2.93112,1.26077,0.39281,DSLR,-0.68657,-0.12436,-0.88035
1.73142,3.66108,1.33935,2.08542,3.27614,1.48753,0.0581011,DSLR,-0.38494,0.14818,-2.0273189
1.75927,2.60201,1.5864,1.87233,2.75253,1.23265,0.180016,Mobile,0.15052,-0.35375,-1.692314
1.64846,1.60429,1.41702,1.33357,2.93409,1.50918,0.0904935,Mobile,1.3298,0.09216,-1.2430765
1.67097,4.07361,1.3914,1.10301,2.98465,1.58895,0.180163,DSLR,-1.08896,0.19755,-0.922847
1.71712,4.05247,1.40941,1.78014,2.98183,1.33543,0.192084,Mobile,-1.07064,-0.07398,-1.588056
1.69394,1.64433,1.49602,2.10827,2.73126,1.36712,0.0215522,Film,1.08693,-0.1289,-2.0867178
1.76371,3.28431,1.51382,1.72307,2.93603,1.2234,0.298801,Film,-0.34828,-0.29042,-1.424269
1.70613,1.2748,1.41248,1.41659,2.95835,1.35846,0.388836,Mobile,1.68355,-0.05402,-1.027754
1.76391,1.668,1.56818,1.41865,2.76171,1.2866,0.00401013,DSLR,1.09371,-0.28158,-1.41463987
1.58576,4.038,1.29331,1.26045,3.22621,1.3938,0.462191,DSLR,-0.81179,0.10049,-0.798259
1.47432,1.93144,1.22252,1.51523,2.76206,1.26529,0.416468,Mobile,0.83062,0.04277,-1.098762
1.8329,2.6985,1.6049,2.16815,3.0821,1.50804,0.101718,DSLR,0.3836,-0.09686,-2.066432
1.5645,4.47524,1.22513,1.52309,3.20694,1.21963,0.0661946,DSLR,-1.2683,-0.0055,-1.4568954
1.77323,3.22491,1.61496,1.70806,3.14481,1.32124,0.457961,Mobile,-0.0801,-0.29372,-1.250099
1.54658,2.46384,1.15376,2.2238,3.08107,1.58301,0.289865,Mobile,0.61723,0.42925,-1.933935
1.64557,4.44369,1.44943,1.51783,3.01217,1.37348,0.589673,Film,-1.43152,-0.07595,-0.928157
1.59508,4.31065,1.23151,1.38477,3.03377,1.21289,0.426576,DSLR,-1.27688,-0.01862,-0.958194
1.72563,1.8531,1.38222,1.86981,3.02292,1.55121,0.570464,Mobile,1.16982,0.16899,-1.299346
1.60939,2.19498,1.40971,2.29862,2.9108,1.47699,0.0554277,DSLR,0.71582,0.06728,-2.2431923
1.69413,4.39414,1.30638,1.13348,2.80401,1.54243,0.265346,Mobile,-1.59013,0.23605,-0.868134
1.53103,1.30901,1.09035,1.1116,3.14998,1.41187,0.00635396,Mobile,1.84097,0.32152,-1.10524604
1.74509,3.86758,1.4466,1.30078,3.03491,1.25835,0.0582476,Film,-0.83267,-0.18825,-1.2425324
1.52319,1.63998,1.34312,1.72134,2.82181,1.59202,0.174889,Film,1.18183,0.2489,-1.546451
1.72181,3.49789,1.41071,1.75332,2.75975,1.35898,0.512271,DSLR,-0.73814,-0.05173,-1.241049
1.63273,1.53443,1.41452,1.39209,2.99616,1.34623,0.272817,Mobile,1.46173,-0.06829,-1.119273
1.81327,1.40318,1.44273,2.03587,2.8789,1.41994,0.0432508,DSLR,1.47572,-0.02279,-1.9926192
1.62941,1.85664,1.45451,1.27668,2.81642,1.35945,0.345384,Mobile,0.95978,-0.09506,-0.931296
1.61319,1.4458,1.1756,1.72623,2.75098,1.47845,0.188604,Mobile,1.30518,0.30285,-1.537626
1.53351,1.3099,1.23582,1.20986,2.96227,1.49708,0.586761,Mobile,1.65237,0.26126,-0.623099
1.72918,4.09466,1.5109,1.65993,2.93682,1.29549,0.15211,Film,-1.15784,-0.21541,-1.50782
1.63569,4.27955,1.43342,1.36574,3.28253,1.48944,0.28461,DSLR,-0.99702,0.05602,-1.08113
1.75049,3.75375,1.38159,2.77986,2.81631,1.47202,0.40614,DSLR,-0.93744,0.09043,-2.37372
1.76529,2.00381,1.60334,1.77565,3.27892,1.51408,0.225336,Mobile,1.27511,-0.08926,-1.550314
1.83162,2.20638,1.64975,1.36806,3.10967,1.5565,0.0326487,DSLR,0.90329,-0.09325,-1.3354113
1.63587,1.51934,1.31124,1.72568,3.02253,1.51303,0.591064,Mobile,1.50319,0.20179,-1.134616
1.62129,2.60881,1.32367,2.14258,3.23413,1.2814,0.384075,DSLR,0.62532,-0.04227,-1.758505
1.81501,2.63289,1.57806,1.92835,2.98379,1.48277,0.479641,Mobile,0.3509,-0.09529,-1.448709
1.69427,3.53107,1.48243,1.96814,2.92757,1.26609,0.345293,Mobile,-0.6035,-0.21634,-1.622847
1.74074,4.7939,1.57732,1.14278,2.75733,1.57444,0.079049,Mobile,-2.03657,-0.00288,-1.063731
1.82197,3.76069,1.53343,1.55491,2.87011,1.32359,0.5781,Mobile,-0.89058,-0.20984,-0.97681
1.67955,2.03618,1.28012,2.04228,3.16316,1.4416,0.227314,Mobile,1.12698,0.16148,-1.814966
1.52632,3.92044,1.25369,1.62247,2.93502,1.50876,0.229402,Mobile,-0.98542,0.25507,-1.393068
1.58917,3.91235,1.23381,1.72314,2.70513,1.27318,0.389038,DSLR,-1.20722,0.03937,-1.334102
1.7691,4.05059,1.59511,1.97692,3.00008,1.24546,0.484182,Film,-1.05051,-0.34965,-1.492738
1.7058,2.40834,1.39088,1.60715,3.06818,1.54919,0.580297,Mobile,0.65984,0.15831,-1.026853
1.77172,2.91494,1.43555,1.66222,3.15098,1.27,0.244746,Mobile,0.23604,-0.16555,-1.417474
1.54644,1.68578,1.10026,1.85495,3.23538,1.55632,0.472591,DSLR,1.5496,0.45606,-1.382359
1.6355,3.61088,1.38939,1.97036,2.80747,1.32856,0.117466,DSLR,-0.80341,-0.06083,-1.852894
1.74755,4.36216,1.46926,2.00115,2.90629,1.30153,0.0073977,Mobile,-1.45587,-0.16773,-1.9937523
1.72559,1.5195,1.5687,1.26302,2.80406,1.56603,5.88E-01,Mobile,1.28456,-0.00267,-0.67502
1.83013,2.34287,1.58476,1.81403,3.19766,1.26056,0.15266,DSLR,0.85479,-0.3242,-1.66137
1.81718,4.33269,1.4436,1.19478,2.75609,1.34369,0.366277,DSLR,-1.5766,-0.09991,-0.828503
1.78861,4.43565,1.46758,1.56847,3.10773,1.39918,0.332054,DSLR,-1.32792,-0.0684,-1.236416
1.71748,1.90156,1.41479,1.92321,3.14269,1.42346,0.583667,DSLR,1.24113,0.00867,-1.339543
1.83685,4.48005,1.58269,1.98288,3.12566,1.50456,0.158794,DSLR,-1.35439,-0.07813,-1.824086
1.62976,2.27973,1.22679,1.20527,3.23776,1.25571,0.420936,Mobile,0.95803,0.02892,-0.784334
1.67623,2.305,1.3223,2.0471,3.06684,1.46438,0.204865,DSLR,0.76184,0.14208,-1.842235
