Set,Player,Ball Type,Point,Position_x,Position_y
1,A,Sub,O,0.746952,1.60946
1,B,Receive,O,0.269795,1.24596
1,A,Return,O,1.32783,1.65508
1,B,Return,O,0.664663,1.11439
1,A,Return,O,0.56822,1.57276
1,B,Return,O,0.120727,0.881699
1,A,Return,O,0.803854,2.51082
1,B,Return,O,0.593577,0.434575
1,A,Return,O,0.132997,1.55988
1,B,Return,O,0.418384,0.299887
1,A,Return,O,0.94016,1.54593
1,B,Return,O,0.871336,1.23774
1,A,Return,O,0.31003,1.54849
1,B,Return,O,0.955486,0.824752
1,A,Return,O,0.679348,2.41585
1,B,Return,O,0.893768,0.284835
1,A,Return,MISS(-1),1.53008,1.63549
2,A,Sub,O,0.595515,1.5842
2,B,Receive,O,0.957427,1.20605
2,A,Return,O,0.311,1.50618
2,B,Return,O,0.461709,1.15801
2,A,Return,O,0.116579,1.54598
2,B,Return,O,1.21762,0.286435
2,A,Return,ACE(+1),0.27023,2.41856
3,B,Sub,O,1.36742,1.12947
3,A,Receive,O,0.352853,1.52447
3,B,Return,O,1.3269,1.0814
3,A,Return,O,0.820426,1.52538
3,B,Return,O,0.545466,0.415761
3,A,Return,O,1.41356,1.62925
3,B,Return,O,0.208983,0.675417
3,A,Return,O,0.683425,1.5281
3,B,Return,O,0.64311,1.153
3,A,Return,O,0.108007,1.64826
3,B,Return,O,0.311769,1.20527
3,A,Return,O,0.432878,1.62061
3,B,Return,ACE(+1),0.253077,0.486755
4,B,Sub,O,0.226784,0.824586
4,A,Receive,ACE(+1),0.0171991,2.36794
5,A,Sub,O,0.457932,2.25759
5,B,Receive,O,0.336597,1.11623
5,A,Return,O,0.539314,2.37421
5,B,Return,MISS(-1),1.54614,1.13581
1,A,Sub,O,0.198949,1.59413
1,B,Receive,O,0.163725,0.813873
1,A,Return,O,1.2631,2.10994
1,B,Return,O,0.933933,1.18998
1,A,Return,O,0.673043,2.14256
1,B,Return,NET(-1),0.554067,1.37
2,B,Sub,O,0.288558,1.19804
2,A,Receive,O,1.19046,2.19094
2,B,Return,O,0.868829,1.17645
2,A,Return,O,0.432859,2.39533
2,B,Return,O,1.35998,1.15804
2,A,Return,O,0.932847,2.27411
2,B,Return,O,1.13786,1.11037
2,A,Return,O,0.111899,1.98145
2,B,Return,O,1.49654,0.860315
2,A,Return,ACE(+1),0.165182,2.28505
3,B,Sub,O,0.434013,0.457923
3,A,Receive,O,0.423973,2.27834
3,B,Return,O,0.526772,1.17888
3,A,Return,O,0.389408,1.61146
3,B,Return,O,0.610532,0.206296
3,A,Return,O,0.155395,1.77342
3,B,Return,O,0.52103,1.12035
3,A,Return,O,0.339428,1.66766
3,B,Return,O,0.0769305,0.527873
3,A,Return,NET(-1),0.531948,1.37
4,A,Sub,O,0.543715,1.55718
4,B,Receive,ACE(+1),1.28683,0.691445
5,A,Sub,O,0.93183,1.57408
5,B,Receive,O,1.27332,1.22704
5,A,Return,O,0.35974,2.37847
5,B,Return,O,0.93313,0.196039
5,A,Return,MISS(-1),-0.0334695,2.14567
1,B,Sub,O,1.13571,1.17338
1,A,Receive,O,0.0195395,2.03661
1,B,Return,O,0.900742,0.471157
1,A,Return,O,1.3159,1.55172
1,B,Return,O,0.915049,1.11842
1,A,Return,O,0.267369,1.61115
1,B,Return,O,0.749338,1.18324
1,A,Return,O,0.915003,2.39394
1,B,Return,O,0.215731,1.21408
1,A,Return,ACE(+1),1.49842,2.26328
2,B,Sub,O,0.952615,1.19417
2,A,Receive,O,0.220585,2.38938
2,B,Return,O,0.201556,0.721324
2,A,Return,O,0.375538,1.59815
2,B,Return,O,0.87724,1.22252
2,A,Return,O,1.41566,1.57607
2,B,Return,O,0.691255,0.154308
2,A,Return,O,1.10061,2.48394
2,B,Return,O,0.732314,1.21037
2,A,Return,ACE(+1),0.227278,2.40956
3,A,Sub,O,0.322525,1.53168
3,B,Receive,O,0.857762,0.254056
3,A,Return,O,0.117981,2.05012
3,B,Return,O,0.442097,1.17026
3,A,Return,MISS(-1),-0.0155164,2.10225
4,A,Sub,O,0.508737,1.53264
4,B,Receive,O,0.259039,1.23242
4,A,Return,NET(-1),1.36806,1.37
5,B,Sub,O,0.298788,1.14343
5,A,Receive,O,0.928268,2.19445
5,B,Return,NET(-1),1.37652,1.37
1,B,Sub,O,0.804373,1.20347
1,A,Receive,O,0.0949437,2.245
1,B,Return,O,0.710442,0.39833
1,A,Return,O,1.24906,1.58537
1,B,Return,O,0.391508,0.596811
1,A,Return,O,0.806723,2.10236
1,B,Return,O,0.327337,1.0974
1,A,Return,O,0.404855,1.5598
1,B,Return,O,0.915105,0.417374
1,A,Return,ACE(+1),0.58102,2.34754
2,A,Sub,O,0.948919,2.01538
2,B,Receive,O,0.992809,1.24475
2,A,Return,O,0.835145,1.56385
2,B,Return,O,0.738824,1.11165
2,A,Return,O,0.103275,1.5421
2,B,Return,O,1.20993,0.571993
2,A,Return,O,0.0919895,2.06156
2,B,Return,O,0.826006,1.14841
2,A,Return,O,0.396201,1.60268
2,B,Return,O,0.382543,0.645774
2,A,Return,O,1.35889,1.53945
3,B,Return,O,0.128912,0.622391
3,A,Return,O,1.06989,2.2813
3,B,Return,O,0.376857,0.257382
3,A,Return,O,0.957669,1.53833
3,B,Return,O,1.31234,1.15604
3,A,Return,O,0.281724,1.53662
3,B,Return,O,1.20429,1.16748
3,A,Return,O,1.13054,1.50137
3,B,Return,O,0.194057,1.20481
3,A,Return,O,0.743094,2.5281
3,B,Return,O,0.237637,0.600576
3,A,Return,O,0.447597,1.66252
4,B,Return,O,0.876449,0.363195
4,A,Return,O,0.955203,1.60922
4,B,Return,O,1.5088,0.748484
4,A,Return,O,0.277155,1.69499
4,B,Return,O,1.27732,0.895108
4,A,Return,MISS(-1),-0.0220371,2.09382
5,A,Sub,O,0.38132,1.58497
5,B,Receive,ACE(+1),1.28192,0.28144
5,B,Sub,O,0.222645,1.23009
5,A,Receive,O,1.1996,1.56632
5,B,Return,O,1.38432,1.18369
5,A,Return,O,0.973038,2.54127
5,B,Return,O,1.11023,0.358108
5,A,Return,O,1.28841,2.15318
5,B,Return,O,0.327256,1.20096
5,A,Return,O,1.46034,2.22418
5,B,Return,O,1.1774,1.19231
2,A,Return,O,0.197655,1.55485
2,B,Return,O,0.23971,1.12893
2,A,Return,O,0.507727,1.57739
2,B,Return,O,0.328485,0.582829
2,A,Return,O,0.504977,1.54941
2,B,Return,O,0.970003,1.211
2,A,Return,O,0.918566,2.44656
2,B,Return,O,0.289077,0.219932
2,A,Return,O,1.09261,2.18073
2,B,Return,ACE(+1),1.27898,0.421594
2,B,Sub,ACE(+1),1.46415,0.682641
