time,n1,n2,weight
1980,Brazil,Spain,240.0
1980,United Stat,Italy,4688.0
1980,Italy,United Stat,6924.0
1980,Italy,China,437.0
1980,India,Italy,311.0
1980,Spain,China,118.0
1980,Russia,United Stat,1515.0
1980,France,Japan,2767.0
1980,Spain,Russia,444.0
1980,Japan,Russia,1873.0
1980,France,Russia,3556.0
1980,France,Spain,3892.0
1980,India,United Stat,1865.0
1980,France,China,467.0
1980,Spain,Italy,1686.0
1980,Spain,France,2823.0
1980,Brazil,Japan,1312.0
1980,China,Russia,264.0
1980,Spain,Brazil,596.0
1980,India,France,330.0
1980,China,France,315.0
1980,Japan,France,1306.0
1980,Spain,India,34.0
1980,Brazil,China,290.0
1980,Italy,India,266.0
1980,Italy,Brazil,974.0
1980,India,Japan,815.0
1980,Russia,Italy,1267.0
1980,France,United Stat,10730.0
1980,Japan,Italy,943.0
1980,France,India,354.0
1980,Italy,Japan,1296.0
1980,Italy,Russia,3063.0
1980,India,Spain,83.0
1980,France,Brazil,1192.0
1980,Russia,Spain,259.0
1980,India,China,83.0
1980,Brazil,Italy,457.0
1980,United Stat,Brazil,4000.0
1980,India,Brazil,248.0
1980,Italy,Spain,1581.0
1980,United Stat,France,5549.0
1980,China,Japan,5169.0
1980,Japan,Spain,391.0
1980,China,Italy,249.0
1980,China,United Stat,3830.0
1980,China,Spain,70.0
1980,India,Russia,1233.0
1980,Spain,Japan,839.0
1980,Japan,China,4346.0
1980,Japan,India,1020.0
1980,Brazil,United Stat,5097.0
1980,Brazil,India,3.0
1980,Russia,France,2465.0
1980,Japan,Brazil,1572.0
1980,Brazil,Russia,40.0
1980,United Stat,China,1164.0
1980,China,Brazil,63.0
1980,United Stat,Spain,1342.0
1980,Russia,China,228.0
1980,Russia,Brazil,370.0
1980,United Stat,India,1210.0
1980,Brazil,France,791.0
1980,Spain,United Stat,4464.0
1980,United Stat,Russia,486.0
1980,Japan,United Stat,24567.0
1980,Russia,India,1410.0
1980,Russia,Japan,2796.0
1980,United Stat,Japan,32973.0
1980,France,Italy,12684.0
1980,Italy,France,13822.0
1981,Japan,United Stat,25275.0
1981,China,Japan,6183.0
1981,United Stat,Japan,39904.0
1981,China,United Stat,4682.0
1981,France,Japan,2744.0
1981,Spain,Brazil,437.0
1981,Russia,Japan,3578.0
1981,India,Russia,1357.0
1981,Spain,India,37.0
1981,France,Brazil,1258.0
1981,France,India,259.0
1981,Japan,France,1172.0
1981,Italy,Spain,1119.0
1981,Japan,Russia,2020.0
1981,Spain,Italy,1284.0
1981,Brazil,France,713.0
1981,Brazil,India,4.0
1981,China,India,81.0
1981,United Stat,India,1325.0
1981,Russia,Spain,402.0
1981,United Stat,France,6139.0
1981,China,Brazil,118.0
1981,France,China,510.0
1981,Spain,Japan,858.0
1981,United Stat,Spain,1665.0
1981,United Stat,Italy,5549.0
1981,France,Italy,10813.0
1981,China,France,395.0
1981,Japan,Brazil,1574.0
1981,China,Russia,154.0
1981,India,United Stat,1370.0
1981,China,Spain,74.0
1981,Russia,France,2052.0
1981,India,Italy,240.0
1981,Italy,United Stat,6137.0
1981,France,Spain,3327.0
1981,Brazil,Russia,25.0
1981,Spain,United Stat,4456.0
1981,Brazil,Italy,728.0
1981,India,China,79.0
1981,Japan,Italy,853.0
1981,United Stat,Brazil,4852.0
1981,Japan,India,1053.0
1981,Russia,India,1726.0
1981,Italy,India,226.0
1981,Spain,China,110.0
1981,Italy,Brazil,964.0
1981,Italy,Russia,3073.0
1981,India,Brazil,239.0
1981,Italy,Japan,1269.0
1981,Italy,China,401.0
1981,United Stat,China,2062.0
1981,Russia,Brazil,684.0
1981,Spain,France,2578.0
1981,India,Japan,880.0
1981,Russia,United Stat,2675.0
1981,Russia,Italy,1413.0
1981,India,Spain,97.0
1981,France,Russia,3360.0
1981,Italy,France,11398.0
1981,Spain,Russia,465.0
1981,Japan,Spain,455.0
1981,Brazil,China,436.0
1981,China,Italy,344.0
1981,United Stat,Russia,377.0
1981,Brazil,Spain,118.0
1981,Japan,China,5283.0
1981,India,France,252.0
1981,Brazil,United Stat,4327.0
1981,Brazil,Japan,1518.0
1981,Russia,China,135.0
1981,France,United Stat,9852.0
1982,India,Brazil,244.0
1982,France,China,437.0
1982,China,United Stat,4305.0
1982,Russia,Spain,241.0
1982,United Stat,India,1522.0
1982,France,Russia,2884.0
1982,Italy,Russia,3529.0
1982,Italy,France,10784.0
1982,Brazil,Spain,112.0
1982,China,Spain,91.0
1982,Russia,France,1715.0
1982,Spain,Italy,1412.0
1982,United Stat,Spain,1639.0
1982,Italy,United Stat,5855.0
1982,Brazil,China,403.0
1982,France,Japan,3046.0
1982,India,United Stat,1562.0
1982,Brazil,Japan,1071.0
1982,Japan,Brazil,1639.0
1982,China,Russia,243.0
1982,China,Brazil,133.0
1982,Japan,France,1211.0
1982,Japan,Russia,1668.0
1982,Brazil,United Stat,3480.0
1982,United Stat,China,2502.0
1982,United Stat,Russia,247.0
1982,Italy,Japan,1098.0
1982,France,Italy,11099.0
1982,India,Japan,1179.0
1982,Spain,Russia,488.0
1982,Russia,China,157.0
1982,Spain,Japan,1005.0
1982,Spain,France,2510.0
1982,Italy,Brazil,1109.0
1982,Spain,United Stat,4360.0
1982,Italy,China,428.0
1982,Brazil,Italy,569.0
1982,India,Italy,283.0
1982,Spain,India,160.0
1982,Japan,Spain,367.0
1982,United Stat,Brazil,4643.0
1982,Japan,Italy,939.0
1982,Spain,China,100.0
1982,China,Japan,3902.0
1982,France,Brazil,1159.0
1982,India,Spain,99.0
1982,France,India,662.0
1982,Spain,Brazil,376.0
1982,United Stat,France,5815.0
1982,Japan,India,1120.0
1982,Russia,Japan,4283.0
1982,Russia,United Stat,2852.0
1982,Russia,India,2059.0
1982,United Stat,Japan,39931.0
1982,Italy,India,221.0
1982,France,United Stat,9109.0
1982,India,France,341.0
1982,Brazil,France,657.0
1982,Russia,Brazil,560.0
1982,China,France,231.0
1982,Japan,China,5338.0
1982,Russia,Italy,1649.0
1982,China,Italy,320.0
1982,Italy,Spain,1218.0
1982,Brazil,Russia,235.0
1982,India,Russia,1243.0
1982,Brazil,India,2.0
1982,China,India,75.0
1982,United Stat,Italy,5656.0
1982,France,Spain,3534.0
1982,India,China,120.0
1982,Japan,United Stat,24185.0
1983,United Stat,Japan,43559.0
1983,Russia,Japan,3104.0
1983,Italy,Brazil,1007.0
1983,France,Brazil,1191.0
1983,United Stat,India,2334.0
1983,Spain,China,84.0
1983,France,Japan,2744.0
1983,India,France,343.0
1983,Japan,India,1131.0
1983,India,Japan,1265.0
1983,Spain,India,58.0
1983,India,United Stat,1704.0
1983,China,Italy,303.0
1983,France,Russia,2801.0
1983,Brazil,Spain,84.0
1983,United Stat,Brazil,5381.0
1983,China,Russia,441.0
1983,China,Brazil,271.0
1983,Spain,Italy,1267.0
1983,Spain,Brazil,647.0
1983,Brazil,China,655.0
1983,Japan,China,5089.0
1983,Italy,India,184.0
1983,France,China,433.0
1983,China,India,15.0
1983,Brazil,Italy,252.0
1983,India,China,70.0
1983,Brazil,Japan,680.0
1983,Italy,Spain,1123.0
1983,Brazil,United Stat,2889.0
1983,United Stat,France,6308.0
1983,Russia,India,1423.0
1983,Spain,Japan,975.0
1983,United Stat,Russia,375.0
1983,Russia,Brazil,738.0
1983,Russia,Italy,2072.0
1983,India,Italy,211.0
1983,Russia,China,351.0
1983,Japan,Italy,985.0
1983,Italy,United Stat,4784.0
1983,Italy,China,414.0
1983,India,Spain,103.0
1983,China,United Stat,2753.0
1983,Brazil,India,1.0
1983,Italy,France,10122.0
1983,Spain,United Stat,3455.0
1983,United Stat,Spain,1689.0
1983,Japan,Spain,398.0
1983,Brazil,France,538.0
1983,China,France,639.0
1983,China,Japan,5495.0
1983,France,Italy,10461.0
1983,Italy,Russia,3582.0
1983,Japan,United Stat,24795.0
1983,United Stat,China,2477.0
1983,France,India,228.0
1983,Spain,Russia,494.0
1983,France,United Stat,8147.0
1983,Japan,Brazil,1671.0
1983,Russia,France,2464.0
1983,Russia,United Stat,2203.0
1983,United Stat,Italy,5820.0
1983,Spain,France,2408.0
1983,France,Spain,3585.0
1983,China,Spain,157.0
1983,Russia,Spain,368.0
1983,India,Russia,1610.0
1983,Brazil,Russia,209.0
1983,India,Brazil,207.0
1983,Japan,France,1302.0
1983,Japan,Russia,1458.0
1983,Italy,Japan,1114.0
1984,Russia,Italy,1739.0
1984,China,Brazil,417.0
1984,Spain,India,39.0
1984,China,Spain,201.0
1984,Italy,Russia,4019.0
1984,Japan,Spain,419.0
1984,Brazil,Russia,185.0
1984,India,Russia,1587.0
1984,India,Spain,108.0
1984,France,India,229.0
1984,Russia,Japan,2766.0
1984,Italy,Brazil,1221.0
1984,Spain,Italy,1219.0
1984,Brazil,Japan,670.0
1984,Russia,Brazil,443.0
1984,Italy,France,10454.0
1984,China,France,357.0
1984,France,Russia,2550.0
1984,United Stat,France,8516.0
1984,Russia,China,644.0
1984,China,Russia,670.0
1984,Italy,Japan,1348.0
1984,Japan,Brazil,1988.0
1984,Russia,France,2145.0
1984,Japan,United Stat,26887.0
1984,United Stat,India,2737.0
1984,Brazil,Spain,49.0
1984,France,Italy,10241.0
1984,Japan,China,5943.0
